Team,Championships,Value,Wins, Attendance 
Juventus FC,35,614.7,20,3.5839
FC Internazionale Milano,18,553.35,19,4.6722
SSC Napoli,2,526.6,11,2.9201
AS Roma,3,354.15,13,3.3143
AC Milan,18,327.6,10,4.0087
SS Lazio,2,298.73,19,3.3873
Atalanta Bergamasca Calcio,0,265.7,14,2.2111
ACF Fiorentina,2,251.8,7,2.7971
Cagliari Calcio,1,150.93,8,2.0638
Torino FC,7,144.65,8,2.1563
Sassuolo Calcio,0,140.33,9,1.7605
Parma Calcio 1913,0,125.18,10,2.0456
Bologna FC,7,119.55,9,2.2939
UC Sampdoria,1,112.35,7,2.2153
Hellas Verona FC,1,106.48,9,2.3727
Genoa CFC,9,104.05,6,2.3148
Udinese Calcio,0,99.43,7,2.4012
Brescia Calcio,0,78.13,4,1.9895
SPAL 2013 Ferrara,0,59.33,5,2.1014
US Lecce,0,43.6,6,2.6075
